Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
sonata,sonata,FCN,FCN,BIM,0.1,0.9972613458528952,0.9972495311062264
sonata,sonata,FCN,FCN,BIM,0.2,0.9972613458528952,0.9972495311062264
sonata,sonata,FCN,FCN,BIM,0.3,0.9972613458528952,0.9972495311062264
sonata,sonata,FCN,FCN,FGSM,0.1,0.9964788732394366,0.9964652399377876
sonata,sonata,FCN,FCN,FGSM,0.2,0.9964788732394366,0.9964652399377876
sonata,sonata,FCN,FCN,FGSM,0.3,0.9960876369327074,0.996074618646008
sonata,sonata,FCN,FCN,PGD,0.1,0.9968701095461658,0.9968574135257676
sonata,sonata,FCN,FCN,PGD,0.2,0.9972613458528952,0.9972501662432661
sonata,sonata,FCN,FCN,PGD,0.3,0.9968701095461658,0.9968594482711458
sonata,sonata,FCN,FCN,RFGSM,0.1,0.9972613458528952,0.9972495311062264
sonata,sonata,FCN,FCN,RFGSM,0.2,0.9972613458528952,0.9972495311062264
sonata,sonata,FCN,FCN,RFGSM,0.3,0.9976525821596244,0.9976415941320645
sonata,sonata,FCN,CNN,BIM,0.1,0.994131455399061,0.9941143099244623
sonata,sonata,FCN,CNN,BIM,0.2,0.994131455399061,0.9941143099244623
sonata,sonata,FCN,CNN,BIM,0.3,0.994131455399061,0.9941143099244623
sonata,sonata,FCN,CNN,FGSM,0.1,0.9945226917057903,0.9945066420093592
sonata,sonata,FCN,CNN,FGSM,0.2,0.9925665101721439,0.9925482992621374
sonata,sonata,FCN,CNN,FGSM,0.3,0.9604851330203443,0.9604875185388817
sonata,sonata,FCN,CNN,PGD,0.1,0.994131455399061,0.9941143099244623
sonata,sonata,FCN,CNN,PGD,0.2,0.9953051643192489,0.9952902325148286
sonata,sonata,FCN,CNN,PGD,0.3,0.9917840375586855,0.9917686642508196
sonata,sonata,FCN,CNN,RFGSM,0.1,0.994131455399061,0.9941143099244623
sonata,sonata,FCN,CNN,RFGSM,0.2,0.994131455399061,0.9941143099244623
sonata,sonata,FCN,CNN,RFGSM,0.3,0.9945226917057903,0.9945066420093592
sonata,sonata,FCN,LSTM,BIM,0.1,0.994131455399061,0.99411094078641
sonata,sonata,FCN,LSTM,BIM,0.2,0.994131455399061,0.99411094078641
sonata,sonata,FCN,LSTM,BIM,0.3,0.9937402190923318,0.993718334395058
sonata,sonata,FCN,LSTM,FGSM,0.1,0.9925665101721439,0.9925415594674715
sonata,sonata,FCN,LSTM,FGSM,0.2,0.9898278560250391,0.9898190782460307
sonata,sonata,FCN,LSTM,FGSM,0.3,0.960093896713615,0.9600747004286591
sonata,sonata,FCN,LSTM,PGD,0.1,0.9937402190923318,0.9937195589505429
sonata,sonata,FCN,LSTM,PGD,0.2,0.9949139280125195,0.9948979532622374
sonata,sonata,FCN,LSTM,PGD,0.3,0.994131455399061,0.9941153765435005
