Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
sonata,sonata,FCN,FCN,BIM,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,FCN,BIM,0.2,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,FCN,BIM,0.3,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,FCN,FGSM,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,FCN,FGSM,0.2,0.9984350547730829,0.9984337880531948
sonata,sonata,FCN,FCN,FGSM,0.3,0.8622848200312989,0.8552368495995151
sonata,sonata,FCN,FCN,PGD,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,FCN,PGD,0.2,0.9996087636932708,0.9996085182031383
sonata,sonata,FCN,FCN,PGD,0.3,0.9968701095461658,0.9969150002771279
sonata,sonata,FCN,FCN,RFGSM,0.1,0.9988262910798122,0.9988254136766297
sonata,sonata,FCN,FCN,RFGSM,0.2,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,FCN,RFGSM,0.3,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,BIM,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,BIM,0.2,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,BIM,0.3,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,FGSM,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,FGSM,0.2,0.9996087636932708,0.9996085182031383
sonata,sonata,FCN,CNN,FGSM,0.3,0.9992175273865415,0.9992170819376702
sonata,sonata,FCN,CNN,PGD,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,PGD,0.2,1.0,1.0
sonata,sonata,FCN,CNN,PGD,0.3,0.9996087636932708,0.9996085182031383
sonata,sonata,FCN,CNN,RFGSM,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,RFGSM,0.2,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,CNN,RFGSM,0.3,0.9996087636932708,0.9996085182031383
sonata,sonata,FCN,LSTM,BIM,0.1,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,LSTM,BIM,0.2,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,LSTM,BIM,0.3,0.9992175273865415,0.9992169899108629
sonata,sonata,FCN,LSTM,FGSM,0.1,0.9988262910798122,0.9988254136766297
sonata,sonata,FCN,LSTM,FGSM,0.2,0.9960876369327074,0.9960834533713535
