Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
soul,sonata,FCN,FCN,BIM,0.1,0.764866979655712,0.7637622602106933
soul,sonata,FCN,FCN,BIM,0.2,0.764866979655712,0.7637622602106933
soul,sonata,FCN,FCN,BIM,0.3,0.764866979655712,0.7637622602106933
soul,sonata,FCN,FCN,FGSM,0.1,0.7703442879499217,0.7710562229610058
soul,sonata,FCN,FCN,FGSM,0.2,0.744131455399061,0.7443498259020057
soul,sonata,FCN,FCN,FGSM,0.3,0.7151799687010955,0.7151024404543816
soul,sonata,FCN,FCN,PGD,0.1,0.764866979655712,0.7638888137225103
soul,sonata,FCN,FCN,PGD,0.2,0.7683881064162754,0.76834136833913
soul,sonata,FCN,FCN,PGD,0.3,0.8141627543035994,0.8157392008654591
soul,sonata,FCN,FCN,RFGSM,0.1,0.764866979655712,0.76381631588269
soul,sonata,FCN,FCN,RFGSM,0.2,0.7656494522691706,0.7645193217823949
soul,sonata,FCN,FCN,RFGSM,0.3,0.764866979655712,0.7637631303505482
soul,sonata,FCN,CNN,BIM,0.1,0.7586071987480438,0.7614219272863647
soul,sonata,FCN,CNN,BIM,0.2,0.7586071987480438,0.7614219272863647
soul,sonata,FCN,CNN,BIM,0.3,0.7586071987480438,0.7614219272863647
soul,sonata,FCN,CNN,FGSM,0.1,0.7554773082942097,0.7585047934201175
soul,sonata,FCN,CNN,FGSM,0.2,0.7460876369327074,0.7495854504291993
soul,sonata,FCN,CNN,FGSM,0.3,0.7276995305164319,0.7320115244161879
soul,sonata,FCN,CNN,PGD,0.1,0.7574334898278561,0.7602263145278308
soul,sonata,FCN,CNN,PGD,0.2,0.7554773082942097,0.7576814589675732
soul,sonata,FCN,CNN,PGD,0.3,0.7570422535211268,0.7593631566017573
soul,sonata,FCN,CNN,RFGSM,0.1,0.7574334898278561,0.7602379909510038
soul,sonata,FCN,CNN,RFGSM,0.2,0.7570422535211268,0.7598614728212223
soul,sonata,FCN,CNN,RFGSM,0.3,0.7574334898278561,0.7602379909510038
soul,sonata,FCN,LSTM,BIM,0.1,0.764866979655712,0.7640603764873453
soul,sonata,FCN,LSTM,BIM,0.2,0.764866979655712,0.7640603764873453
soul,sonata,FCN,LSTM,BIM,0.3,0.764866979655712,0.7640603764873453
soul,sonata,FCN,LSTM,FGSM,0.1,0.7546948356807511,0.7544676884910324
soul,sonata,FCN,LSTM,FGSM,0.2,0.7343505477308294,0.7351543025140587
soul,sonata,FCN,LSTM,FGSM,0.3,0.7030516431924883,0.7043289577736016
soul,sonata,FCN,LSTM,PGD,0.1,0.7656494522691706,0.7648566626629043
soul,sonata,FCN,LSTM,PGD,0.2,0.7609546165884195,0.760719017896737
soul,sonata,FCN,LSTM,PGD,0.3,0.7820813771517997,0.7845469486923118
soul,sonata,FCN,LSTM,RFGSM,0.1,0.7660406885758998,0.7651849301569883
soul,sonata,FCN,LSTM,RFGSM,0.2,0.7660406885758998,0.7651528927582946
soul,sonata,FCN,LSTM,RFGSM,0.3,0.7656494522691706,0.7648348012186879
soul,sonata,CNN,FCN,BIM,0.1,0.8215962441314554,0.8204988105566813
soul,sonata,CNN,FCN,BIM,0.2,0.8215962441314554,0.8204988105566813
soul,sonata,CNN,FCN,BIM,0.3,0.8215962441314554,0.8204988105566813
soul,sonata,CNN,FCN,FGSM,0.1,0.7073552425665102,0.6282056616307895
soul,sonata,CNN,FCN,FGSM,0.2,0.7034428794992176,0.6242249524694969
soul,sonata,CNN,FCN,FGSM,0.3,0.6541471048513302,0.5812218217043883
soul,sonata,CNN,FCN,PGD,0.1,0.8223787167449139,0.821195603453844
soul,sonata,CNN,FCN,PGD,0.2,0.7699530516431925,0.7678934117520245
soul,sonata,CNN,FCN,PGD,0.3,0.7468701095461658,0.7453126338864614
soul,sonata,CNN,FCN,RFGSM,0.1,0.8219874804381847,0.8208447942634989
soul,sonata,CNN,FCN,RFGSM,0.2,0.8219874804381847,0.8208447942634989
soul,sonata,CNN,FCN,RFGSM,0.3,0.8219874804381847,0.8208411585061479
soul,sonata,CNN,CNN,BIM,0.1,0.7312206572769953,0.6397666010525047
soul,sonata,CNN,CNN,BIM,0.2,0.7312206572769953,0.6397666010525047
soul,sonata,CNN,CNN,BIM,0.3,0.7312206572769953,0.6397666010525047
soul,sonata,CNN,CNN,FGSM,0.1,0.7347417840375586,0.6415631727603639
soul,sonata,CNN,CNN,FGSM,0.2,0.7382629107981221,0.6433127221964295
soul,sonata,CNN,CNN,FGSM,0.3,0.7253521126760564,0.6507550420806649
soul,sonata,CNN,CNN,PGD,0.1,0.7230046948356808,0.6359431685702872
soul,sonata,CNN,CNN,PGD,0.2,0.7378716744913928,0.6967412121957435
