Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
soul,sonata,FCN,FCN,BIM,0.1,0.655320813771518,0.6175915542652195
soul,sonata,FCN,FCN,BIM,0.2,0.655320813771518,0.6175915542652195
soul,sonata,FCN,FCN,BIM,0.3,0.655320813771518,0.6175915542652195
soul,sonata,FCN,FCN,FGSM,0.1,0.6428012519561815,0.6104281917669635
soul,sonata,FCN,FCN,FGSM,0.2,0.6107198748043818,0.592667282462678
soul,sonata,FCN,FCN,FGSM,0.3,0.543035993740219,0.5019825557966386
soul,sonata,FCN,FCN,PGD,0.1,0.6533646322378717,0.6165822512413166
soul,sonata,FCN,FCN,PGD,0.2,0.6451486697965572,0.6153404893165727
soul,sonata,FCN,FCN,PGD,0.3,0.6772300469483568,0.6588605319079386
soul,sonata,FCN,FCN,RFGSM,0.1,0.6564945226917058,0.6183685550422203
soul,sonata,FCN,FCN,RFGSM,0.2,0.6557120500782473,0.6177948769957824
soul,sonata,FCN,FCN,RFGSM,0.3,0.6557120500782473,0.6179942811293127
soul,sonata,FCN,CNN,BIM,0.1,0.6596244131455399,0.6204902881236276
soul,sonata,FCN,CNN,BIM,0.2,0.6596244131455399,0.6204902881236276
soul,sonata,FCN,CNN,BIM,0.3,0.6596244131455399,0.6204902881236276
soul,sonata,FCN,CNN,FGSM,0.1,0.6584507042253521,0.6199647578647339
soul,sonata,FCN,CNN,FGSM,0.2,0.6486697965571205,0.615413894828542
soul,sonata,FCN,CNN,FGSM,0.3,0.7359154929577465,0.7460279328959846
soul,sonata,FCN,CNN,PGD,0.1,0.661189358372457,0.6210972497184742
soul,sonata,FCN,CNN,PGD,0.2,0.6533646322378717,0.6172290634352156
soul,sonata,FCN,CNN,PGD,0.3,0.6463223787167449,0.6156071717605806
soul,sonata,FCN,CNN,RFGSM,0.1,0.6596244131455399,0.6202249446748955
soul,sonata,FCN,CNN,RFGSM,0.2,0.6604068857589984,0.6207924031502934
soul,sonata,FCN,CNN,RFGSM,0.3,0.6588419405320813,0.6199774740145796
soul,sonata,FCN,LSTM,BIM,0.1,0.6533646322378717,0.6170007196877586
soul,sonata,FCN,LSTM,BIM,0.2,0.6533646322378717,0.6170007196877586
soul,sonata,FCN,LSTM,BIM,0.3,0.6533646322378717,0.6170007196877586
soul,sonata,FCN,LSTM,FGSM,0.1,0.6373239436619719,0.6075216158479736
soul,sonata,FCN,LSTM,FGSM,0.2,0.6071987480438185,0.5889110194274513
soul,sonata,FCN,LSTM,FGSM,0.3,0.667057902973396,0.6665358925779971
soul,sonata,FCN,LSTM,PGD,0.1,0.6471048513302035,0.6140983925691084
soul,sonata,FCN,LSTM,PGD,0.2,0.6416275430359938,0.6109028550019331
soul,sonata,FCN,LSTM,PGD,0.3,0.6607981220657277,0.6360782513741623
soul,sonata,FCN,LSTM,RFGSM,0.1,0.6498435054773083,0.6149708282532476
soul,sonata,FCN,LSTM,RFGSM,0.2,0.6506259780907668,0.6156163344146951
soul,sonata,FCN,LSTM,RFGSM,0.3,0.6498435054773083,0.615169408056732
soul,sonata,CNN,FCN,BIM,0.1,0.4937402190923318,0.4177058238865757
soul,sonata,CNN,FCN,BIM,0.2,0.4937402190923318,0.4177058238865757
soul,sonata,CNN,FCN,BIM,0.3,0.4937402190923318,0.4177058238865757
soul,sonata,CNN,FCN,FGSM,0.1,0.49726134585289516,0.41929427438919303
soul,sonata,CNN,FCN,FGSM,0.2,0.4843505477308294,0.41451718131007065
soul,sonata,CNN,FCN,FGSM,0.3,0.4370109546165884,0.3933141604070967
soul,sonata,CNN,FCN,PGD,0.1,0.49413145539906106,0.4178830537806177
soul,sonata,CNN,FCN,PGD,0.2,0.49413145539906106,0.4178830537806177
soul,sonata,CNN,FCN,PGD,0.3,0.4902190923317684,0.4173109535445793
soul,sonata,CNN,FCN,RFGSM,0.1,0.4937402190923318,0.4177058238865757
soul,sonata,CNN,FCN,RFGSM,0.2,0.4937402190923318,0.4177058238865757
soul,sonata,CNN,FCN,RFGSM,0.3,0.49413145539906106,0.4178830537806177
soul,sonata,CNN,CNN,BIM,0.1,0.4902190923317684,0.41610240369335766
soul,sonata,CNN,CNN,BIM,0.2,0.4902190923317684,0.41610240369335766
soul,sonata,CNN,CNN,BIM,0.3,0.4902190923317684,0.41610240369335766
soul,sonata,CNN,CNN,FGSM,0.1,0.49178403755868544,0.41802694347466884
soul,sonata,CNN,CNN,FGSM,0.2,0.4800469483568075,0.41601126777107045
soul,sonata,CNN,CNN,FGSM,0.3,0.4557902973395931,0.4086558896521465
soul,sonata,CNN,CNN,PGD,0.1,0.4910015649452269,0.41646002379456465
soul,sonata,CNN,CNN,PGD,0.2,0.4878716744913928,0.416830444022015
soul,sonata,CNN,CNN,PGD,0.3,0.4800469483568075,0.4133707962336909
soul,sonata,CNN,CNN,RFGSM,0.1,0.4894366197183099,0.4157440338644751
soul,sonata,CNN,CNN,RFGSM,0.2,0.4902190923317684,0.41610240369335766
soul,sonata,CNN,CNN,RFGSM,0.3,0.4902190923317684,0.41610240369335766
soul,sonata,CNN,LSTM,BIM,0.1,0.49413145539906106,0.4178830537806177
soul,sonata,CNN,LSTM,BIM,0.2,0.49413145539906106,0.4178830537806177
soul,sonata,CNN,LSTM,BIM,0.3,0.49413145539906106,0.4178830537806177
soul,sonata,CNN,LSTM,FGSM,0.1,0.4964788732394366,0.41955115060378223
soul,sonata,CNN,LSTM,FGSM,0.2,0.47769953051643194,0.4148947676302621
soul,sonata,CNN,LSTM,FGSM,0.3,0.4385758998435055,0.3993162370728123
soul,sonata,CNN,LSTM,PGD,0.1,0.4953051643192488,0.4184136375039666
soul,sonata,CNN,LSTM,PGD,0.2,0.49608763693270735,0.4211839898201169
soul,sonata,CNN,LSTM,PGD,0.3,0.49295774647887325,0.4214498932996775
soul,sonata,CNN,LSTM,RFGSM,0.1,0.4945226917057903,0.4180600991562901
soul,sonata,CNN,LSTM,RFGSM,0.2,0.4945226917057903,0.4180600991562901
soul,sonata,CNN,LSTM,RFGSM,0.3,0.4945226917057903,0.4180600991562901
soul,sonata,LSTM,FCN,BIM,0.1,0.7644757433489828,0.7695432121400324
