Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
spark,sonata,FCN,FCN,BIM,0.1,0.7636932707355243,0.7627282223809563
spark,sonata,FCN,FCN,BIM,0.2,0.7636932707355243,0.7627282223809563
spark,sonata,FCN,FCN,BIM,0.3,0.7636932707355243,0.7627282223809563
spark,sonata,FCN,FCN,FGSM,0.1,0.7621283255086072,0.7634982640879073
spark,sonata,FCN,FCN,FGSM,0.2,0.7140062597809077,0.7151026914011062
spark,sonata,FCN,FCN,FGSM,0.3,0.6580594679186228,0.6491277538878719
spark,sonata,FCN,FCN,PGD,0.1,0.7601721439749609,0.7600716973303034
spark,sonata,FCN,FCN,PGD,0.2,0.755868544600939,0.7576415296829992
spark,sonata,FCN,FCN,PGD,0.3,0.7445226917057903,0.7461734815395622
spark,sonata,FCN,FCN,RFGSM,0.1,0.7617370892018779,0.7613300692721303
spark,sonata,FCN,FCN,RFGSM,0.2,0.7609546165884195,0.7605859888915302
spark,sonata,FCN,FCN,RFGSM,0.3,0.7621283255086072,0.7617156705658247
spark,sonata,FCN,CNN,BIM,0.1,0.7820813771517997,0.7796888703161845
spark,sonata,FCN,CNN,BIM,0.2,0.7820813771517997,0.7796888703161845
spark,sonata,FCN,CNN,BIM,0.3,0.7820813771517997,0.7796888703161845
spark,sonata,FCN,CNN,FGSM,0.1,0.7824726134585289,0.7800552568688034
spark,sonata,FCN,CNN,FGSM,0.2,0.7695618153364632,0.7704769296844429
spark,sonata,FCN,CNN,FGSM,0.3,0.7535211267605634,0.755261941304487
spark,sonata,FCN,CNN,PGD,0.1,0.7801251956181534,0.777850245017246
spark,sonata,FCN,CNN,PGD,0.2,0.7738654147104851,0.7740345599428352
spark,sonata,FCN,CNN,PGD,0.3,0.7687793427230047,0.7696613082605623
spark,sonata,FCN,CNN,RFGSM,0.1,0.7836463223787168,0.7812503613160239
spark,sonata,FCN,CNN,RFGSM,0.2,0.7812989045383412,0.7788889598848079
spark,sonata,FCN,CNN,RFGSM,0.3,0.7809076682316118,0.7785752392211265
spark,sonata,FCN,LSTM,BIM,0.1,0.7683881064162754,0.7688522545307748
spark,sonata,FCN,LSTM,BIM,0.2,0.7683881064162754,0.7688522545307748
spark,sonata,FCN,LSTM,BIM,0.3,0.7683881064162754,0.7688522545307748
spark,sonata,FCN,LSTM,FGSM,0.1,0.7656494522691706,0.7668262009986991
spark,sonata,FCN,LSTM,FGSM,0.2,0.7378716744913928,0.7404607100680485
spark,sonata,FCN,LSTM,FGSM,0.3,0.681924882629108,0.6783651420065934
spark,sonata,FCN,LSTM,PGD,0.1,0.764866979655712,0.7659086361661809
spark,sonata,FCN,LSTM,PGD,0.2,0.7625195618153364,0.763735773220273
spark,sonata,FCN,LSTM,PGD,0.3,0.7515649452269171,0.7529408091647222
spark,sonata,FCN,LSTM,RFGSM,0.1,0.7672143974960877,0.768074222825705
