Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
spark,sonata,FCN,FCN,BIM,0.1,0.7625195618153364,0.7644756574589736
spark,sonata,FCN,FCN,BIM,0.2,0.7625195618153364,0.7644756574589736
spark,sonata,FCN,FCN,BIM,0.3,0.7625195618153364,0.7644756574589736
spark,sonata,FCN,FCN,FGSM,0.1,0.7586071987480438,0.7603650280051559
spark,sonata,FCN,FCN,FGSM,0.2,0.7288732394366197,0.7285881987374605
spark,sonata,FCN,FCN,FGSM,0.3,0.4370109546165884,0.39090446987669125
spark,sonata,FCN,FCN,PGD,0.1,0.7617370892018779,0.7637642455884611
spark,sonata,FCN,FCN,PGD,0.2,0.7523474178403756,0.7543715861026514
spark,sonata,FCN,FCN,PGD,0.3,0.7390453834115805,0.7404166856953864
spark,sonata,FCN,FCN,RFGSM,0.1,0.7621283255086072,0.7640794382838116
spark,sonata,FCN,FCN,RFGSM,0.2,0.7617370892018779,0.7636827355192948
spark,sonata,FCN,FCN,RFGSM,0.3,0.7621283255086072,0.7640794382838116
spark,sonata,FCN,CNN,BIM,0.1,0.764866979655712,0.7665009885394991
spark,sonata,FCN,CNN,BIM,0.2,0.764866979655712,0.7665009885394991
spark,sonata,FCN,CNN,BIM,0.3,0.764866979655712,0.7665009885394991
spark,sonata,FCN,CNN,FGSM,0.1,0.763302034428795,0.7650260860142966
spark,sonata,FCN,CNN,FGSM,0.2,0.7413928012519562,0.7425357202123053
spark,sonata,FCN,CNN,FGSM,0.3,0.7171361502347418,0.7150263750546079
spark,sonata,FCN,CNN,PGD,0.1,0.7640845070422535,0.7659526503334275
spark,sonata,FCN,CNN,PGD,0.2,0.755868544600939,0.7577558843415202
spark,sonata,FCN,CNN,PGD,0.3,0.744131455399061,0.74558032589518
spark,sonata,FCN,CNN,RFGSM,0.1,0.7656494522691706,0.76728710320467
spark,sonata,FCN,CNN,RFGSM,0.2,0.7652582159624414,0.7668942800693912
spark,sonata,FCN,CNN,RFGSM,0.3,0.7664319248826291,0.7680713514478577
spark,sonata,FCN,LSTM,BIM,0.1,0.758998435054773,0.7608921201285117
spark,sonata,FCN,LSTM,BIM,0.2,0.758998435054773,0.7608921201285117
spark,sonata,FCN,LSTM,BIM,0.3,0.758998435054773,0.7608921201285117
spark,sonata,FCN,LSTM,FGSM,0.1,0.7586071987480438,0.7604692048253471
spark,sonata,FCN,LSTM,FGSM,0.2,0.7214397496087637,0.7201159025715742
spark,sonata,FCN,LSTM,FGSM,0.3,0.43309859154929575,0.3852865355176702
spark,sonata,FCN,LSTM,PGD,0.1,0.7566510172143975,0.7584807462269982
spark,sonata,FCN,LSTM,PGD,0.2,0.7480438184663537,0.7496712313009825
spark,sonata,FCN,LSTM,PGD,0.3,0.7382629107981221,0.7393059813922964
spark,sonata,FCN,LSTM,RFGSM,0.1,0.7566510172143975,0.7584807462269982
spark,sonata,FCN,LSTM,RFGSM,0.2,0.7578247261345853,0.7596887020810444
spark,sonata,FCN,LSTM,RFGSM,0.3,0.7574334898278561,0.7592865568765573
spark,sonata,CNN,FCN,BIM,0.1,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,BIM,0.2,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,BIM,0.3,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,FGSM,0.1,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,FGSM,0.2,0.7809076682316118,0.7828416526578302
spark,sonata,CNN,FCN,FGSM,0.3,0.7347417840375586,0.7370279338415915
spark,sonata,CNN,FCN,PGD,0.1,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,PGD,0.2,0.8082942097026604,0.8080524471271235
spark,sonata,CNN,FCN,PGD,0.3,0.7938184663536776,0.795038853863957
spark,sonata,CNN,FCN,RFGSM,0.1,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,RFGSM,0.2,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,FCN,RFGSM,0.3,0.8165101721439749,0.8152632875690354
spark,sonata,CNN,CNN,BIM,0.1,0.8165101721439749,0.8152632875690354
