Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
sonata,sonata,FCN,FCN,BIM,0.1,0.7676056338028169,0.7678514302244313
sonata,sonata,FCN,FCN,BIM,0.2,0.7676056338028169,0.7678514302244313
sonata,sonata,FCN,FCN,BIM,0.3,0.7676056338028169,0.7678514302244313
sonata,sonata,FCN,FCN,FGSM,0.1,0.8661971830985915,0.8596819712130858
sonata,sonata,FCN,FCN,FGSM,0.2,0.405320813771518,0.34910947257400604
sonata,sonata,FCN,FCN,FGSM,0.3,0.23982785602503912,0.10364083364740136
sonata,sonata,FCN,FCN,PGD,0.1,0.7488262910798122,0.7496187012533317
sonata,sonata,FCN,FCN,PGD,0.2,0.4757433489827856,0.43651009578038896
sonata,sonata,FCN,FCN,PGD,0.3,0.35837245696400627,0.2796318542888324
sonata,sonata,FCN,FCN,RFGSM,0.1,0.764866979655712,0.7652177243982774
sonata,sonata,FCN,FCN,RFGSM,0.2,0.7660406885758998,0.7665787522977735
sonata,sonata,FCN,FCN,RFGSM,0.3,0.7644757433489828,0.7648262975202899
sonata,sonata,FCN,CNN,BIM,0.1,0.9100156494522692,0.9074627315531074
sonata,sonata,FCN,CNN,BIM,0.2,0.9100156494522692,0.9074627315531074
sonata,sonata,FCN,CNN,BIM,0.3,0.9100156494522692,0.9074627315531074
sonata,sonata,FCN,CNN,FGSM,0.1,0.906885758998435,0.9040788593978965
sonata,sonata,FCN,CNN,FGSM,0.2,0.7374804381846636,0.7383903008238382
sonata,sonata,FCN,CNN,FGSM,0.3,0.6866197183098591,0.6758624020558942
sonata,sonata,FCN,CNN,PGD,0.1,0.8873239436619719,0.8865832354214465
sonata,sonata,FCN,CNN,PGD,0.2,0.7601721439749609,0.7618444308695971
sonata,sonata,FCN,CNN,PGD,0.3,0.6165884194053208,0.6015635071154035
sonata,sonata,FCN,CNN,RFGSM,0.1,0.9123630672926447,0.910104361148993
sonata,sonata,FCN,CNN,RFGSM,0.2,0.9115805946791862,0.9092248364114717
sonata,sonata,FCN,CNN,RFGSM,0.3,0.9092331768388107,0.9066614039096745
sonata,sonata,FCN,LSTM,BIM,0.1,0.7687793427230047,0.7708509568379912
