Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
sonata,sonata,FCN,FCN,BIM,0.1,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,FCN,BIM,0.2,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,FCN,BIM,0.3,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,FCN,FGSM,0.1,0.49139280125195617,0.41347157269760404
sonata,sonata,FCN,FCN,FGSM,0.2,0.36502347417840375,0.2738494970704468
sonata,sonata,FCN,FCN,FGSM,0.3,0.36502347417840375,0.2738494970704468
sonata,sonata,FCN,FCN,PGD,0.1,0.36502347417840375,0.2907659931945658
sonata,sonata,FCN,FCN,PGD,0.2,0.2828638497652582,0.1768240137111371
sonata,sonata,FCN,FCN,PGD,0.3,0.2433489827856025,0.10262276168349849
sonata,sonata,FCN,FCN,RFGSM,0.1,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,FCN,RFGSM,0.2,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,FCN,RFGSM,0.3,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,CNN,BIM,0.1,0.5,0.423667625172011
sonata,sonata,FCN,CNN,BIM,0.2,0.5,0.423667625172011
sonata,sonata,FCN,CNN,BIM,0.3,0.5,0.423667625172011
sonata,sonata,FCN,CNN,FGSM,0.1,0.36932707355242567,0.2824269953654694
sonata,sonata,FCN,CNN,FGSM,0.2,0.36502347417840375,0.2738494970704468
sonata,sonata,FCN,CNN,FGSM,0.3,0.24100156494522693,0.09709962168978563
sonata,sonata,FCN,CNN,PGD,0.1,0.43740219092331767,0.35661213423490684
sonata,sonata,FCN,CNN,PGD,0.2,0.365414710485133,0.2804766276584856
sonata,sonata,FCN,CNN,PGD,0.3,0.3196400625978091,0.2242630708199171
sonata,sonata,FCN,CNN,RFGSM,0.1,0.4984350547730829,0.41567043612088495
sonata,sonata,FCN,CNN,RFGSM,0.2,0.4984350547730829,0.4171730855360712
sonata,sonata,FCN,CNN,RFGSM,0.3,0.4988262910798122,0.4175689683547569
sonata,sonata,FCN,LSTM,BIM,0.1,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,LSTM,BIM,0.2,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,LSTM,BIM,0.3,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,LSTM,FGSM,0.1,0.365414710485133,0.27450452810630965
sonata,sonata,FCN,LSTM,FGSM,0.2,0.36502347417840375,0.2737136896611377
sonata,sonata,FCN,LSTM,FGSM,0.3,0.36502347417840375,0.2737136896611377
sonata,sonata,FCN,LSTM,PGD,0.1,0.36502347417840375,0.28746760019414064
sonata,sonata,FCN,LSTM,PGD,0.2,0.29890453834115804,0.2007957821431844
sonata,sonata,FCN,LSTM,PGD,0.3,0.24608763693270735,0.10857618831267174
sonata,sonata,FCN,LSTM,RFGSM,0.1,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,LSTM,RFGSM,0.2,0.36502347417840375,0.3049577560625248
sonata,sonata,FCN,LSTM,RFGSM,0.3,0.36502347417840375,0.3049577560625248
sonata,sonata,CNN,FCN,BIM,0.1,0.7163536776212832,0.6372265217106894
sonata,sonata,CNN,FCN,BIM,0.2,0.7163536776212832,0.6372265217106894
sonata,sonata,CNN,FCN,BIM,0.3,0.7163536776212832,0.6372265217106894
sonata,sonata,CNN,FCN,FGSM,0.1,0.689358372456964,0.6123934960385904
sonata,sonata,CNN,FCN,FGSM,0.2,0.5383411580594679,0.4667583468424983
sonata,sonata,CNN,FCN,FGSM,0.3,0.36815336463223786,0.29233142015916436
sonata,sonata,CNN,FCN,PGD,0.1,0.7077464788732394,0.6292853181588021
sonata,sonata,CNN,FCN,PGD,0.2,0.6600156494522692,0.5854541763089527
sonata,sonata,CNN,FCN,PGD,0.3,0.5993740219092332,0.5273676812053864
sonata,sonata,CNN,FCN,RFGSM,0.1,0.7136150234741784,0.634696419932269
sonata,sonata,CNN,FCN,RFGSM,0.2,0.7143974960876369,0.6354189606590888
