Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
soul,sonata,FCN,FCN,BIM,0.1,0.7906885758998435,0.791662129658525
soul,sonata,FCN,FCN,BIM,0.2,0.7906885758998435,0.791662129658525
soul,sonata,FCN,FCN,BIM,0.3,0.7906885758998435,0.791662129658525
soul,sonata,FCN,FCN,FGSM,0.1,0.7859937402190923,0.7875327049884059
soul,sonata,FCN,FCN,FGSM,0.2,0.7073552425665102,0.7045563451742929
soul,sonata,FCN,FCN,FGSM,0.3,0.3873239436619718,0.3229656902781439
soul,sonata,FCN,FCN,PGD,0.1,0.7879499217527387,0.7890426965532906
soul,sonata,FCN,FCN,PGD,0.2,0.7593896713615024,0.7613500112943896
soul,sonata,FCN,FCN,PGD,0.3,0.6502347417840375,0.6424461546712387
soul,sonata,FCN,FCN,RFGSM,0.1,0.7883411580594679,0.7892897960973159
soul,sonata,FCN,FCN,RFGSM,0.2,0.7887323943661971,0.789749516211713
soul,sonata,FCN,FCN,RFGSM,0.3,0.789906103286385,0.7909363038732253
soul,sonata,FCN,CNN,BIM,0.1,0.8024256651017214,0.8019013429281137
soul,sonata,FCN,CNN,BIM,0.2,0.8024256651017214,0.8019013429281137
soul,sonata,FCN,CNN,BIM,0.3,0.8024256651017214,0.8019013429281137
soul,sonata,FCN,CNN,FGSM,0.1,0.7992957746478874,0.7988980600536696
soul,sonata,FCN,CNN,FGSM,0.2,0.764866979655712,0.765523771151608
soul,sonata,FCN,CNN,FGSM,0.3,0.7038341158059468,0.6983483605385239
soul,sonata,FCN,CNN,PGD,0.1,0.798904538341158,0.7987896826149541
soul,sonata,FCN,CNN,PGD,0.2,0.7793427230046949,0.7805377844801197
soul,sonata,FCN,CNN,PGD,0.3,0.7382629107981221,0.7400887852392353
soul,sonata,FCN,CNN,RFGSM,0.1,0.80320813771518,0.8027661539213686
soul,sonata,FCN,CNN,RFGSM,0.2,0.8016431924882629,0.8012160888525037
soul,sonata,FCN,CNN,RFGSM,0.3,0.8024256651017214,0.8019679330052831
soul,sonata,FCN,LSTM,BIM,0.1,0.7922535211267606,0.7931149976328162
soul,sonata,FCN,LSTM,BIM,0.2,0.7922535211267606,0.7931149976328162
soul,sonata,FCN,LSTM,BIM,0.3,0.7922535211267606,0.7931149976328162
soul,sonata,FCN,LSTM,FGSM,0.1,0.7844287949921753,0.7859427600857903
soul,sonata,FCN,LSTM,FGSM,0.2,0.7057902973395931,0.7031151720521226
soul,sonata,FCN,LSTM,FGSM,0.3,0.4041471048513302,0.3484069735046966
soul,sonata,FCN,LSTM,PGD,0.1,0.7891236306729265,0.7901163484105044
soul,sonata,FCN,LSTM,PGD,0.2,0.7582159624413145,0.7602078192723966
soul,sonata,FCN,LSTM,PGD,0.3,0.6525821596244131,0.6504832084838152
soul,sonata,FCN,LSTM,RFGSM,0.1,0.7906885758998435,0.7916656434819764
soul,sonata,FCN,LSTM,RFGSM,0.2,0.7895148669796557,0.7905749462905868
soul,sonata,FCN,LSTM,RFGSM,0.3,0.7902973395931142,0.7913024307676156
soul,sonata,CNN,FCN,BIM,0.1,0.5758998435054773,0.49605094723647203
soul,sonata,CNN,FCN,BIM,0.2,0.5758998435054773,0.49605094723647203
soul,sonata,CNN,FCN,BIM,0.3,0.5758998435054773,0.49605094723647203
soul,sonata,CNN,FCN,FGSM,0.1,0.6032863849765259,0.5169928131487479
soul,sonata,CNN,FCN,FGSM,0.2,0.6185446009389671,0.5562532632443294
soul,sonata,CNN,FCN,FGSM,0.3,0.4878716744913928,0.3682992195091371
soul,sonata,CNN,FCN,PGD,0.1,0.5700312989045383,0.48703653380432443
soul,sonata,CNN,FCN,PGD,0.2,0.48043818466353677,0.3605640661038438
soul,sonata,CNN,FCN,PGD,0.3,0.4784820031298905,0.3580210686395584
soul,sonata,CNN,FCN,RFGSM,0.1,0.582942097026604,0.5014643273486311
soul,sonata,CNN,FCN,RFGSM,0.2,0.5817683881064163,0.5005636944839756
soul,sonata,CNN,FCN,RFGSM,0.3,0.582942097026604,0.5014643273486311
soul,sonata,CNN,CNN,BIM,0.1,0.5402973395931142,0.4683354996331509
soul,sonata,CNN,CNN,BIM,0.2,0.5402973395931142,0.4683354996331509
soul,sonata,CNN,CNN,BIM,0.3,0.5402973395931142,0.4683354996331509
soul,sonata,CNN,CNN,FGSM,0.1,0.5418622848200313,0.4698734809028571
soul,sonata,CNN,CNN,FGSM,0.2,0.5446009389671361,0.4731967294501408
soul,sonata,CNN,CNN,FGSM,0.3,0.40923317683881066,0.28016721870688055
soul,sonata,CNN,CNN,PGD,0.1,0.5406885758998435,0.4688492813999504
soul,sonata,CNN,CNN,PGD,0.2,0.5555555555555556,0.48064360202112777
soul,sonata,CNN,CNN,PGD,0.3,0.5285602503912363,0.45420706144994705
soul,sonata,CNN,CNN,RFGSM,0.1,0.5336463223787168,0.4630971262178091
soul,sonata,CNN,CNN,RFGSM,0.2,0.5348200312989045,0.4640335254149781
soul,sonata,CNN,CNN,RFGSM,0.3,0.5316901408450704,0.46153368437188735
soul,sonata,CNN,LSTM,BIM,0.1,0.5719874804381847,0.4930329083062296
soul,sonata,CNN,LSTM,BIM,0.2,0.5719874804381847,0.4930329083062296
soul,sonata,CNN,LSTM,BIM,0.3,0.5719874804381847,0.4930329083062296
soul,sonata,CNN,LSTM,FGSM,0.1,0.6025039123630673,0.5165039961891938
soul,sonata,CNN,LSTM,FGSM,0.2,0.6115023474178404,0.5507184014158312
soul,sonata,CNN,LSTM,FGSM,0.3,0.4784820031298905,0.3612436195012158
soul,sonata,CNN,LSTM,PGD,0.1,0.5825508607198748,0.5236710013083494
soul,sonata,CNN,LSTM,PGD,0.2,0.4835680751173709,0.37337040655503784
soul,sonata,CNN,LSTM,PGD,0.3,0.4702660406885759,0.35436806527577974
