Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
soul,sonata,FCN,FCN,BIM,0.1,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,FCN,BIM,0.2,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,FCN,BIM,0.3,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,FCN,FGSM,0.1,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,FCN,FGSM,0.2,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,FCN,FGSM,0.3,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,FCN,PGD,0.1,0.24100156494522693,0.11059245960502694
soul,sonata,FCN,FCN,PGD,0.2,0.24100156494522693,0.10003247807729783
soul,sonata,FCN,FCN,PGD,0.3,0.24100156494522693,0.09765377298668358
soul,sonata,FCN,FCN,RFGSM,0.1,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,FCN,RFGSM,0.2,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,FCN,RFGSM,0.3,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,CNN,BIM,0.1,0.5273865414710485,0.4377374447046578
soul,sonata,FCN,CNN,BIM,0.2,0.5273865414710485,0.4377374447046578
soul,sonata,FCN,CNN,BIM,0.3,0.5273865414710485,0.4377374447046578
soul,sonata,FCN,CNN,FGSM,0.1,0.2515649452269171,0.11749844473629639
soul,sonata,FCN,CNN,FGSM,0.2,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,CNN,FGSM,0.3,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,CNN,PGD,0.1,0.2668231611893584,0.1546253283835425
soul,sonata,FCN,CNN,PGD,0.2,0.24139280125195617,0.10149154736719417
soul,sonata,FCN,CNN,PGD,0.3,0.24100156494522693,0.09805794333014964
soul,sonata,FCN,CNN,RFGSM,0.1,0.3826291079812207,0.31329094492236287
soul,sonata,FCN,CNN,RFGSM,0.2,0.3826291079812207,0.31337471323604105
soul,sonata,FCN,CNN,RFGSM,0.3,0.3748043818466354,0.30548764760407854
soul,sonata,FCN,LSTM,BIM,0.1,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,LSTM,BIM,0.2,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,LSTM,BIM,0.3,0.24139280125195617,0.12202669983838485
soul,sonata,FCN,LSTM,FGSM,0.1,0.24139280125195617,0.10842839457756231
soul,sonata,FCN,LSTM,FGSM,0.2,0.24100156494522693,0.10788091068301225
soul,sonata,FCN,LSTM,FGSM,0.3,0.24100156494522693,0.10788091068301225
soul,sonata,FCN,LSTM,PGD,0.1,0.24100156494522693,0.107956536978619
soul,sonata,FCN,LSTM,PGD,0.2,0.24100156494522693,0.09787098824277089
soul,sonata,FCN,LSTM,PGD,0.3,0.24100156494522693,0.09716088328075709
soul,sonata,FCN,LSTM,RFGSM,0.1,0.24100156494522693,0.12159494670351363
soul,sonata,FCN,LSTM,RFGSM,0.2,0.24100156494522693,0.12159494670351363
soul,sonata,FCN,LSTM,RFGSM,0.3,0.24100156494522693,0.12159494670351363
soul,sonata,CNN,FCN,BIM,0.1,0.513302034428795,0.3953268188906663
soul,sonata,CNN,FCN,BIM,0.2,0.513302034428795,0.3953268188906663
soul,sonata,CNN,FCN,BIM,0.3,0.513302034428795,0.3953268188906663
soul,sonata,CNN,FCN,FGSM,0.1,0.5117370892018779,0.39657634969361477
soul,sonata,CNN,FCN,FGSM,0.2,0.24960876369327073,0.09987476518472135
soul,sonata,CNN,FCN,FGSM,0.3,0.24960876369327073,0.09987476518472135
soul,sonata,CNN,FCN,PGD,0.1,0.519170579029734,0.40808354982336453
soul,sonata,CNN,FCN,PGD,0.2,0.4780907668231612,0.36470205277979983
soul,sonata,CNN,FCN,PGD,0.3,0.25586854460093894,0.11268618140289716
soul,sonata,CNN,FCN,RFGSM,0.1,0.513302034428795,0.3953268188906663
soul,sonata,CNN,FCN,RFGSM,0.2,0.513302034428795,0.3953268188906663
soul,sonata,CNN,FCN,RFGSM,0.3,0.513302034428795,0.3953268188906663
soul,sonata,CNN,CNN,BIM,0.1,0.513302034428795,0.3953268188906663
soul,sonata,CNN,CNN,BIM,0.2,0.513302034428795,0.3953268188906663
soul,sonata,CNN,CNN,BIM,0.3,0.513302034428795,0.3953268188906663
soul,sonata,CNN,CNN,FGSM,0.1,0.5211267605633803,0.4122571593349825
soul,sonata,CNN,CNN,FGSM,0.2,0.24960876369327073,0.09987476518472135
soul,sonata,CNN,CNN,FGSM,0.3,0.24960876369327073,0.09987476518472135
soul,sonata,CNN,CNN,PGD,0.1,0.5054773082942097,0.38120773824443255
soul,sonata,CNN,CNN,PGD,0.2,0.418622848200313,0.31717668964761864
soul,sonata,CNN,CNN,PGD,0.3,0.25078247261345854,0.10230511045961628
soul,sonata,CNN,CNN,RFGSM,0.1,0.513302034428795,0.395457120766167
soul,sonata,CNN,CNN,RFGSM,0.2,0.5125195618153364,0.3938579295500793
soul,sonata,CNN,CNN,RFGSM,0.3,0.5125195618153364,0.3939883155383741
soul,sonata,CNN,LSTM,BIM,0.1,0.5176056338028169,0.403271105183946
soul,sonata,CNN,LSTM,BIM,0.2,0.5176056338028169,0.403271105183946
soul,sonata,CNN,LSTM,BIM,0.3,0.5176056338028169,0.403271105183946
soul,sonata,CNN,LSTM,FGSM,0.1,0.5140845070422535,0.397048831513179
soul,sonata,CNN,LSTM,FGSM,0.2,0.24960876369327073,0.09987476518472135
soul,sonata,CNN,LSTM,FGSM,0.3,0.24960876369327073,0.09987476518472135
soul,sonata,CNN,LSTM,PGD,0.1,0.513302034428795,0.3953268188906663
soul,sonata,CNN,LSTM,PGD,0.2,0.49295774647887325,0.37487446975025007
soul,sonata,CNN,LSTM,PGD,0.3,0.25821596244131456,0.11724063241431065
soul,sonata,CNN,LSTM,RFGSM,0.1,0.5176056338028169,0.403271105183946
soul,sonata,CNN,LSTM,RFGSM,0.2,0.5176056338028169,0.403271105183946
soul,sonata,CNN,LSTM,RFGSM,0.3,0.5176056338028169,0.403271105183946
soul,sonata,LSTM,FCN,BIM,0.1,0.7539123630672926,0.7600253339093159
soul,sonata,LSTM,FCN,BIM,0.2,0.7539123630672926,0.7600253339093159
soul,sonata,LSTM,FCN,BIM,0.3,0.7539123630672926,0.7600253339093159
soul,sonata,LSTM,FCN,FGSM,0.1,0.7472613458528952,0.7538635799290545
soul,sonata,LSTM,FCN,FGSM,0.2,0.6932707355242567,0.7079574947524281
soul,sonata,LSTM,FCN,FGSM,0.3,0.32511737089201875,0.298827430590286
soul,sonata,LSTM,FCN,PGD,0.1,0.7546948356807511,0.7608273784724602
soul,sonata,LSTM,FCN,PGD,0.2,0.7515649452269171,0.7583778819621906
soul,sonata,LSTM,FCN,PGD,0.3,0.7390453834115805,0.7465722583125898
soul,sonata,LSTM,FCN,RFGSM,0.1,0.7546948356807511,0.7608152457488965
soul,sonata,LSTM,FCN,RFGSM,0.2,0.7546948356807511,0.7608152457488965
soul,sonata,LSTM,FCN,RFGSM,0.3,0.7543035993740219,0.7604456420931027
soul,sonata,LSTM,CNN,BIM,0.1,0.7613458528951487,0.7660454606300743
soul,sonata,LSTM,CNN,BIM,0.2,0.7613458528951487,0.7660454606300743
soul,sonata,LSTM,CNN,BIM,0.3,0.7613458528951487,0.7660454606300743
soul,sonata,LSTM,CNN,FGSM,0.1,0.7574334898278561,0.7628270016456465
soul,sonata,LSTM,CNN,FGSM,0.2,0.7496087636932708,0.7564733351579382
soul,sonata,LSTM,CNN,FGSM,0.3,0.7421752738654147,0.7505352746534946
soul,sonata,LSTM,CNN,PGD,0.1,0.7574334898278561,0.7630040225522663
soul,sonata,LSTM,CNN,PGD,0.2,0.7554773082942097,0.7616628346860232
soul,sonata,LSTM,CNN,PGD,0.3,0.7476525821596244,0.754610348894861
soul,sonata,LSTM,CNN,RFGSM,0.1,0.7570422535211268,0.7624965323792884
soul,sonata,LSTM,CNN,RFGSM,0.2,0.7570422535211268,0.7624965323792884
soul,sonata,LSTM,CNN,RFGSM,0.3,0.7586071987480438,0.7637678924083753
soul,sonata,LSTM,LSTM,BIM,0.1,0.7543035993740219,0.7603575598229372
soul,sonata,LSTM,LSTM,BIM,0.2,0.7543035993740219,0.7603575598229372
soul,sonata,LSTM,LSTM,BIM,0.3,0.7543035993740219,0.7603575598229372
soul,sonata,LSTM,LSTM,FGSM,0.1,0.7468701095461658,0.753252522061403
soul,sonata,LSTM,LSTM,FGSM,0.2,0.6979655712050078,0.7118045633995692
soul,sonata,LSTM,LSTM,FGSM,0.3,0.6087636932707355,0.6124392433260895
soul,sonata,LSTM,LSTM,PGD,0.1,0.7539123630672926,0.76015034616789
soul,sonata,LSTM,LSTM,PGD,0.2,0.75,0.7570004067534795
