Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
spark,sonata,FCN,FCN,BIM,0.1,0.7734741784037559,0.775125411453415
spark,sonata,FCN,FCN,BIM,0.2,0.7734741784037559,0.775125411453415
spark,sonata,FCN,FCN,BIM,0.3,0.7734741784037559,0.775125411453415
spark,sonata,FCN,FCN,FGSM,0.1,0.7679968701095462,0.7700384058444386
spark,sonata,FCN,FCN,FGSM,0.2,0.460093896713615,0.41880470806373876
spark,sonata,FCN,FCN,FGSM,0.3,0.3888888888888889,0.3220608597915553
spark,sonata,FCN,FCN,PGD,0.1,0.7695618153364632,0.7714035635822623
spark,sonata,FCN,FCN,PGD,0.2,0.7550860719874805,0.7575049283284665
spark,sonata,FCN,FCN,PGD,0.3,0.6768388106416275,0.6888817138118956
spark,sonata,FCN,FCN,RFGSM,0.1,0.7719092331768388,0.7736772531511837
spark,sonata,FCN,FCN,RFGSM,0.2,0.7726917057902973,0.7744400667665978
spark,sonata,FCN,FCN,RFGSM,0.3,0.7723004694835681,0.7740800562489085
spark,sonata,FCN,CNN,BIM,0.1,0.7887323943661971,0.789748967518177
spark,sonata,FCN,CNN,BIM,0.2,0.7887323943661971,0.789748967518177
spark,sonata,FCN,CNN,BIM,0.3,0.7887323943661971,0.789748967518177
spark,sonata,FCN,CNN,FGSM,0.1,0.7883411580594679,0.7894527036914427
spark,sonata,FCN,CNN,FGSM,0.2,0.7629107981220657,0.7651804432328791
spark,sonata,FCN,CNN,FGSM,0.3,0.7108763693270735,0.7073040665497303
spark,sonata,FCN,CNN,PGD,0.1,0.7844287949921753,0.7856884920747962
spark,sonata,FCN,CNN,PGD,0.2,0.7687793427230047,0.7711259591221903
spark,sonata,FCN,CNN,PGD,0.3,0.7359154929577465,0.7394366793078032
spark,sonata,FCN,CNN,RFGSM,0.1,0.7895148669796557,0.7904812469422671
spark,sonata,FCN,CNN,RFGSM,0.2,0.7883411580594679,0.7894551417667857
spark,sonata,FCN,CNN,RFGSM,0.3,0.7906885758998435,0.7915783547298894
spark,sonata,FCN,LSTM,BIM,0.1,0.7769953051643192,0.7786151117071152
spark,sonata,FCN,LSTM,BIM,0.2,0.7769953051643192,0.7786151117071152
spark,sonata,FCN,LSTM,BIM,0.3,0.7769953051643192,0.7786151117071152
spark,sonata,FCN,LSTM,FGSM,0.1,0.7703442879499217,0.7723779446355789
spark,sonata,FCN,LSTM,FGSM,0.2,0.46830985915492956,0.4283611824084622
spark,sonata,FCN,LSTM,FGSM,0.3,0.4029733959311424,0.3448584030612941
spark,sonata,FCN,LSTM,PGD,0.1,0.7715179968701096,0.7733495869986122
spark,sonata,FCN,LSTM,PGD,0.2,0.7664319248826291,0.7684345957900801
spark,sonata,FCN,LSTM,PGD,0.3,0.685054773082942,0.699046410531454
spark,sonata,FCN,LSTM,RFGSM,0.1,0.7726917057902973,0.7744213887019034
spark,sonata,FCN,LSTM,RFGSM,0.2,0.7726917057902973,0.7744213887019034
spark,sonata,FCN,LSTM,RFGSM,0.3,0.7730829420970265,0.7748794228114977
spark,sonata,CNN,FCN,BIM,0.1,0.5309076682316118,0.46073083292167827
spark,sonata,CNN,FCN,BIM,0.2,0.5309076682316118,0.46073083292167827
spark,sonata,CNN,FCN,BIM,0.3,0.5309076682316118,0.46073083292167827
spark,sonata,CNN,FCN,FGSM,0.1,0.5614241001564946,0.484986332106351
spark,sonata,CNN,FCN,FGSM,0.2,0.6111111111111112,0.5507941111096654
spark,sonata,CNN,FCN,FGSM,0.3,0.48043818466353677,0.3648740158276145
spark,sonata,CNN,FCN,PGD,0.1,0.5395148669796557,0.46760821146823606
spark,sonata,CNN,FCN,PGD,0.2,0.4812206572769953,0.37270198684814193
spark,sonata,CNN,FCN,PGD,0.3,0.47300469483568075,0.35182741239588766
spark,sonata,CNN,FCN,RFGSM,0.1,0.5332550860719875,0.46261318065352397
spark,sonata,CNN,FCN,RFGSM,0.2,0.5336463223787168,0.4629264060773979
spark,sonata,CNN,FCN,RFGSM,0.3,0.534037558685446,0.46323949051317737
spark,sonata,CNN,CNN,BIM,0.1,0.4910015649452269,0.42791104832989646
spark,sonata,CNN,CNN,BIM,0.2,0.4910015649452269,0.42791104832989646
spark,sonata,CNN,CNN,BIM,0.3,0.4910015649452269,0.42791104832989646
spark,sonata,CNN,CNN,FGSM,0.1,0.49061032863849763,0.4276712616606797
spark,sonata,CNN,CNN,FGSM,0.2,0.7656494522691706,0.768881923595217
