Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
spark,sonata,FCN,FCN,BIM,0.1,0.41744913928012517,0.3604581271535302
spark,sonata,FCN,FCN,BIM,0.2,0.41744913928012517,0.3604581271535302
spark,sonata,FCN,FCN,BIM,0.3,0.41744913928012517,0.3604581271535302
spark,sonata,FCN,FCN,FGSM,0.1,0.4119718309859155,0.35500577835041625
spark,sonata,FCN,FCN,FGSM,0.2,0.38928012519561817,0.31900289630014733
spark,sonata,FCN,FCN,FGSM,0.3,0.36502347417840375,0.2738494970704468
spark,sonata,FCN,FCN,PGD,0.1,0.4162754303599374,0.35939871318620487
spark,sonata,FCN,FCN,PGD,0.2,0.38928012519561817,0.31994280280383414
spark,sonata,FCN,FCN,PGD,0.3,0.30477308294209704,0.20733974832335486
spark,sonata,FCN,FCN,RFGSM,0.1,0.4162754303599374,0.35929598967027493
spark,sonata,FCN,FCN,RFGSM,0.2,0.4166666666666667,0.359683741867318
spark,sonata,FCN,FCN,RFGSM,0.3,0.4162754303599374,0.35929598967027493
spark,sonata,FCN,CNN,BIM,0.1,0.4225352112676056,0.3652538379552057
spark,sonata,FCN,CNN,BIM,0.2,0.4225352112676056,0.3652538379552057
spark,sonata,FCN,CNN,BIM,0.3,0.4225352112676056,0.3652538379552057
spark,sonata,FCN,CNN,FGSM,0.1,0.42018779342723006,0.36295404927972774
spark,sonata,FCN,CNN,FGSM,0.2,0.38341158059467917,0.3253898198130788
spark,sonata,FCN,CNN,FGSM,0.3,0.36502347417840375,0.2738494970704468
spark,sonata,FCN,CNN,PGD,0.1,0.4197965571205008,0.3626707276684888
spark,sonata,FCN,CNN,PGD,0.2,0.40923317683881066,0.3523553567592238
spark,sonata,FCN,CNN,PGD,0.3,0.38341158059467917,0.3211621608656998
spark,sonata,FCN,CNN,RFGSM,0.1,0.4229264475743349,0.3656358769060323
spark,sonata,FCN,CNN,RFGSM,0.2,0.4225352112676056,0.3652538379552057
spark,sonata,FCN,CNN,RFGSM,0.3,0.42370892018779344,0.36639888442376534
spark,sonata,FCN,LSTM,BIM,0.1,0.41588419405320814,0.35890786307397826
spark,sonata,FCN,LSTM,BIM,0.2,0.41588419405320814,0.35890786307397826
spark,sonata,FCN,LSTM,BIM,0.3,0.41588419405320814,0.35890786307397826
spark,sonata,FCN,LSTM,FGSM,0.1,0.41784037558685444,0.36074274286066094
spark,sonata,FCN,LSTM,FGSM,0.2,0.3658059467918623,0.2752931283798174
spark,sonata,FCN,LSTM,FGSM,0.3,0.36502347417840375,0.2738494970704468
spark,sonata,FCN,LSTM,PGD,0.1,0.4151017214397496,0.3581304825793521
spark,sonata,FCN,LSTM,PGD,0.2,0.3826291079812207,0.30881018022181694
spark,sonata,FCN,LSTM,PGD,0.3,0.310641627543036,0.21436257632567438
spark,sonata,FCN,LSTM,RFGSM,0.1,0.4151017214397496,0.3581304825793521
spark,sonata,FCN,LSTM,RFGSM,0.2,0.4151017214397496,0.3581304825793521
spark,sonata,FCN,LSTM,RFGSM,0.3,0.4151017214397496,0.3581304825793521
spark,sonata,CNN,FCN,BIM,0.1,0.5704225352112676,0.49202951811641826
spark,sonata,CNN,FCN,BIM,0.2,0.5704225352112676,0.49202951811641826
spark,sonata,CNN,FCN,BIM,0.3,0.5704225352112676,0.49202951811641826
spark,sonata,CNN,FCN,FGSM,0.1,0.568075117370892,0.49021975328966727
spark,sonata,CNN,FCN,FGSM,0.2,0.5446009389671361,0.47212050791334126
spark,sonata,CNN,FCN,FGSM,0.3,0.5066510172143975,0.46080704773940884
spark,sonata,CNN,FCN,PGD,0.1,0.5684663536776213,0.49052158766457366
spark,sonata,CNN,FCN,PGD,0.2,0.5641627543035994,0.48719668921211956
spark,sonata,CNN,FCN,PGD,0.3,0.5571205007824727,0.4817998387325896
spark,sonata,CNN,FCN,RFGSM,0.1,0.5696400625978091,0.4914265919262192
spark,sonata,CNN,FCN,RFGSM,0.2,0.5700312989045383,0.491728095637577
spark,sonata,CNN,FCN,RFGSM,0.3,0.5700312989045383,0.491728095637577
spark,sonata,CNN,CNN,BIM,0.1,0.5661189358372457,0.4887442575970363
spark,sonata,CNN,CNN,BIM,0.2,0.5661189358372457,0.4887442575970363
spark,sonata,CNN,CNN,BIM,0.3,0.5661189358372457,0.4887442575970363
spark,sonata,CNN,CNN,FGSM,0.1,0.5661189358372457,0.4887442575970363
spark,sonata,CNN,CNN,FGSM,0.2,0.5379499217527387,0.4668843493788968
spark,sonata,CNN,CNN,FGSM,0.3,0.5,0.43682824633100126
spark,sonata,CNN,CNN,PGD,0.1,0.5614241001564946,0.4851495740021229
spark,sonata,CNN,CNN,PGD,0.2,0.5516431924882629,0.4775449207583937
spark,sonata,CNN,CNN,PGD,0.3,0.543035993740219,0.4709376886977872
spark,sonata,CNN,CNN,RFGSM,0.1,0.5645539906103286,0.4875351447238969
spark,sonata,CNN,CNN,RFGSM,0.2,0.564945226917058,0.4878375542465532
spark,sonata,CNN,CNN,RFGSM,0.3,0.5637715179968701,0.48693005961755687
spark,sonata,CNN,LSTM,BIM,0.1,0.5692488262910798,0.49102544802694204
spark,sonata,CNN,LSTM,BIM,0.2,0.5692488262910798,0.49102544802694204
spark,sonata,CNN,LSTM,BIM,0.3,0.5692488262910798,0.49102544802694204
