Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
sonata,sonata,FCN,FCN,BIM,0.1,0.7746478873239436,0.7769313968277187
sonata,sonata,FCN,FCN,BIM,0.2,0.7746478873239436,0.7769313968277187
sonata,sonata,FCN,FCN,BIM,0.3,0.7746478873239436,0.7769313968277187
sonata,sonata,FCN,FCN,FGSM,0.1,0.8853677621283255,0.8819691005591357
sonata,sonata,FCN,FCN,FGSM,0.2,0.6854460093896714,0.6772352304884129
sonata,sonata,FCN,FCN,FGSM,0.3,0.36189358372456965,0.27897030590314437
sonata,sonata,FCN,FCN,PGD,0.1,0.7738654147104851,0.7762611058214041
sonata,sonata,FCN,FCN,PGD,0.2,0.6658841940532081,0.6437513419422275
sonata,sonata,FCN,FCN,PGD,0.3,0.4937402190923318,0.45987259619395476
sonata,sonata,FCN,FCN,RFGSM,0.1,0.7742566510172144,0.77665534738068
sonata,sonata,FCN,FCN,RFGSM,0.2,0.7742566510172144,0.77665534738068
sonata,sonata,FCN,FCN,RFGSM,0.3,0.7742566510172144,0.77665534738068
sonata,sonata,FCN,CNN,BIM,0.1,0.922926447574335,0.9218644797693136
sonata,sonata,FCN,CNN,BIM,0.2,0.922926447574335,0.9218644797693136
sonata,sonata,FCN,CNN,BIM,0.3,0.922926447574335,0.9218644797693136
sonata,sonata,FCN,CNN,FGSM,0.1,0.797339593114241,0.7984562289302841
sonata,sonata,FCN,CNN,FGSM,0.2,0.770735524256651,0.7731073152182243
sonata,sonata,FCN,CNN,FGSM,0.3,0.7214397496087637,0.7201159025715742
sonata,sonata,FCN,CNN,PGD,0.1,0.9174491392801252,0.9161750541973568
sonata,sonata,FCN,CNN,PGD,0.2,0.7859937402190923,0.7896114148869174
sonata,sonata,FCN,CNN,PGD,0.3,0.7257433489827856,0.7252798760049617
sonata,sonata,FCN,CNN,RFGSM,0.1,0.9237089201877934,0.9226044182463469
sonata,sonata,FCN,CNN,RFGSM,0.2,0.922926447574335,0.9218644797693136
sonata,sonata,FCN,CNN,RFGSM,0.3,0.9244913928012519,0.9234599306018555
sonata,sonata,FCN,LSTM,BIM,0.1,0.7742566510172144,0.7762491944783613
sonata,sonata,FCN,LSTM,BIM,0.2,0.7742566510172144,0.7762491944783613
sonata,sonata,FCN,LSTM,BIM,0.3,0.7742566510172144,0.7762491944783613
sonata,sonata,FCN,LSTM,FGSM,0.1,0.8896713615023474,0.8867331172746458
sonata,sonata,FCN,LSTM,FGSM,0.2,0.4460093896713615,0.4032303837346335
sonata,sonata,FCN,LSTM,FGSM,0.3,0.36619718309859156,0.28408133643793054
sonata,sonata,FCN,LSTM,PGD,0.1,0.7703442879499217,0.7725836248698099
sonata,sonata,FCN,LSTM,PGD,0.2,0.7151799687010955,0.7091711962696391
sonata,sonata,FCN,LSTM,PGD,0.3,0.52660406885759,0.5027516661596515
sonata,sonata,FCN,LSTM,RFGSM,0.1,0.7738654147104851,0.7759481840227774
sonata,sonata,FCN,LSTM,RFGSM,0.2,0.7730829420970265,0.775113735232385
sonata,sonata,FCN,LSTM,RFGSM,0.3,0.7730829420970265,0.7751910112967247
sonata,sonata,CNN,FCN,BIM,0.1,0.581377151799687,0.5002936251915386
sonata,sonata,CNN,FCN,BIM,0.2,0.581377151799687,0.5002936251915386
sonata,sonata,CNN,FCN,BIM,0.3,0.581377151799687,0.5002936251915386
sonata,sonata,CNN,FCN,FGSM,0.1,0.607981220657277,0.5205792221737742
sonata,sonata,CNN,FCN,FGSM,0.2,0.49491392801251954,0.3736188126470755
sonata,sonata,CNN,FCN,FGSM,0.3,0.48708920187793425,0.36845067058131364
sonata,sonata,CNN,FCN,PGD,0.1,0.4757433489827856,0.337126564441959
sonata,sonata,CNN,FCN,PGD,0.2,0.4855242566510172,0.36237565688248763
sonata,sonata,CNN,FCN,PGD,0.3,0.48082942097026604,0.3614594087983854
sonata,sonata,CNN,FCN,RFGSM,0.1,0.5884194053208138,0.5056868215293444
sonata,sonata,CNN,FCN,RFGSM,0.2,0.5864632237871674,0.5041907462985373
sonata,sonata,CNN,FCN,RFGSM,0.3,0.587245696400626,0.5047893556801245
sonata,sonata,CNN,CNN,BIM,0.1,0.5387323943661971,0.4671984866612484
sonata,sonata,CNN,CNN,BIM,0.2,0.5387323943661971,0.4671984866612484
sonata,sonata,CNN,CNN,BIM,0.3,0.5387323943661971,0.4671984866612484
sonata,sonata,CNN,CNN,FGSM,0.1,0.5387323943661971,0.4674528632145649
sonata,sonata,CNN,CNN,FGSM,0.2,0.36502347417840375,0.25012828601472137
sonata,sonata,CNN,CNN,FGSM,0.3,0.2875586854460094,0.1946182606289984
sonata,sonata,CNN,CNN,PGD,0.1,0.5422535211267606,0.4699211216567787
sonata,sonata,CNN,CNN,PGD,0.2,0.43114241001564946,0.3165350865855097
sonata,sonata,CNN,CNN,PGD,0.3,0.397887323943662,0.27655781521504585
sonata,sonata,CNN,CNN,RFGSM,0.1,0.5387323943661971,0.4671984866612484
sonata,sonata,CNN,CNN,RFGSM,0.2,0.5402973395931142,0.4684387875457756
sonata,sonata,CNN,CNN,RFGSM,0.3,0.539906103286385,0.4681289047501407
sonata,sonata,CNN,LSTM,BIM,0.1,0.5825508607198748,0.5012232817286804
sonata,sonata,CNN,LSTM,BIM,0.2,0.5825508607198748,0.5012232817286804
sonata,sonata,CNN,LSTM,BIM,0.3,0.5825508607198748,0.5012232817286804
sonata,sonata,CNN,LSTM,FGSM,0.1,0.6009389671361502,0.5153370524134585
sonata,sonata,CNN,LSTM,FGSM,0.2,0.4780907668231612,0.3616737066320084
sonata,sonata,CNN,LSTM,FGSM,0.3,0.4565727699530516,0.3463764103588189
sonata,sonata,CNN,LSTM,PGD,0.1,0.46870109546165883,0.3306175227451823
sonata,sonata,CNN,LSTM,PGD,0.2,0.4788732394366197,0.3597482129119464
sonata,sonata,CNN,LSTM,PGD,0.3,0.46830985915492956,0.3543239855358834
sonata,sonata,CNN,LSTM,RFGSM,0.1,0.46557120500782473,0.3185431864450501
sonata,sonata,CNN,LSTM,RFGSM,0.2,0.4647887323943662,0.3179787011147958
sonata,sonata,CNN,LSTM,RFGSM,0.3,0.46517996870109546,0.31826095028356427
sonata,sonata,LSTM,FCN,BIM,0.1,0.7601721439749609,0.7609570106022854
sonata,sonata,LSTM,FCN,BIM,0.2,0.7601721439749609,0.7609570106022854
sonata,sonata,LSTM,FCN,BIM,0.3,0.7601721439749609,0.7609570106022854
sonata,sonata,LSTM,FCN,FGSM,0.1,0.7543035993740219,0.7546751731845232
sonata,sonata,LSTM,FCN,FGSM,0.2,0.7187010954616588,0.715218157417352
sonata,sonata,LSTM,FCN,FGSM,0.3,0.6885758998435054,0.6800079418349749
sonata,sonata,LSTM,FCN,PGD,0.1,0.7550860719874805,0.7556266677835054
sonata,sonata,LSTM,FCN,PGD,0.2,0.7445226917057903,0.7436885933413778
sonata,sonata,LSTM,FCN,PGD,0.3,0.7300469483568075,0.728916748252027
sonata,sonata,LSTM,FCN,RFGSM,0.1,0.7570422535211268,0.7575665811074213
sonata,sonata,LSTM,FCN,RFGSM,0.2,0.7574334898278561,0.7579616565007439
sonata,sonata,LSTM,FCN,RFGSM,0.3,0.7582159624413145,0.7588951058857919
sonata,sonata,LSTM,CNN,BIM,0.1,0.775039123630673,0.7747176967022856
sonata,sonata,LSTM,CNN,BIM,0.2,0.775039123630673,0.7747176967022856
sonata,sonata,LSTM,CNN,BIM,0.3,0.775039123630673,0.7747176967022856
sonata,sonata,LSTM,CNN,FGSM,0.1,0.7719092331768388,0.7714726936478438
sonata,sonata,LSTM,CNN,FGSM,0.2,0.7503912363067292,0.7499245587388013
sonata,sonata,LSTM,CNN,FGSM,0.3,0.7198748043818466,0.7105717475862183
sonata,sonata,LSTM,CNN,PGD,0.1,0.7734741784037559,0.7736790243236686
sonata,sonata,LSTM,CNN,PGD,0.2,0.7625195618153364,0.7629991494492242
sonata,sonata,LSTM,CNN,PGD,0.3,0.7476525821596244,0.7472583437805693
sonata,sonata,LSTM,CNN,RFGSM,0.1,0.7754303599374022,0.775295755949182
sonata,sonata,LSTM,CNN,RFGSM,0.2,0.7758215962441315,0.7758210510246915
sonata,sonata,LSTM,CNN,RFGSM,0.3,0.7769953051643192,0.7769378457744347
sonata,sonata,LSTM,LSTM,BIM,0.1,0.755868544600939,0.7553452825319966
sonata,sonata,LSTM,LSTM,BIM,0.2,0.755868544600939,0.7553452825319966
sonata,sonata,LSTM,LSTM,BIM,0.3,0.755868544600939,0.7553452825319966
sonata,sonata,LSTM,LSTM,FGSM,0.1,0.7543035993740219,0.7545867014649048
sonata,sonata,LSTM,LSTM,FGSM,0.2,0.7226134585289515,0.721424987214053
sonata,sonata,LSTM,LSTM,FGSM,0.3,0.6705790297339593,0.6535163045714758
sonata,sonata,LSTM,LSTM,PGD,0.1,0.7523474178403756,0.7520767997583672
sonata,sonata,LSTM,LSTM,PGD,0.2,0.7464788732394366,0.7457121037781792
