Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
soul,sonata,FCN,FCN,BIM,0.1,0.7562597809076682,0.7583642944955341
soul,sonata,FCN,FCN,BIM,0.2,0.7562597809076682,0.7583642944955341
soul,sonata,FCN,FCN,BIM,0.3,0.7562597809076682,0.7583642944955341
soul,sonata,FCN,FCN,FGSM,0.1,0.7488262910798122,0.7510465454833997
soul,sonata,FCN,FCN,FGSM,0.2,0.4405320813771518,0.39652201035364254
soul,sonata,FCN,FCN,FGSM,0.3,0.39241001564945227,0.3299245174139803
soul,sonata,FCN,FCN,PGD,0.1,0.7531298904538342,0.7551452092381489
soul,sonata,FCN,FCN,PGD,0.2,0.6905320813771518,0.6825023120691829
soul,sonata,FCN,FCN,PGD,0.3,0.5226917057902973,0.4863474327160081
soul,sonata,FCN,FCN,RFGSM,0.1,0.755868544600939,0.7579636726961703
soul,sonata,FCN,FCN,RFGSM,0.2,0.7554773082942097,0.7575625507347078
soul,sonata,FCN,FCN,RFGSM,0.3,0.7554773082942097,0.7575625507347078
soul,sonata,FCN,CNN,BIM,0.1,0.789906103286385,0.7910483435459749
soul,sonata,FCN,CNN,BIM,0.2,0.789906103286385,0.7910483435459749
soul,sonata,FCN,CNN,BIM,0.3,0.789906103286385,0.7910483435459749
soul,sonata,FCN,CNN,FGSM,0.1,0.7856025039123631,0.7870975112086755
soul,sonata,FCN,CNN,FGSM,0.2,0.7472613458528952,0.7489435196188229
soul,sonata,FCN,CNN,FGSM,0.3,0.6662754303599374,0.6466799605118387
soul,sonata,FCN,CNN,PGD,0.1,0.7820813771517997,0.7836648676061608
soul,sonata,FCN,CNN,PGD,0.2,0.7597809076682316,0.7619388387508874
soul,sonata,FCN,CNN,PGD,0.3,0.69679186228482,0.6955890787983612
soul,sonata,FCN,CNN,RFGSM,0.1,0.7883411580594679,0.7896814304070021
soul,sonata,FCN,CNN,RFGSM,0.2,0.793035993740219,0.7940590768596039
soul,sonata,FCN,CNN,RFGSM,0.3,0.7887323943661971,0.7899503551888345
soul,sonata,FCN,LSTM,BIM,0.1,0.7554773082942097,0.7577639169225352
soul,sonata,FCN,LSTM,BIM,0.2,0.7554773082942097,0.7577639169225352
soul,sonata,FCN,LSTM,BIM,0.3,0.7554773082942097,0.7577639169225352
soul,sonata,FCN,LSTM,FGSM,0.1,0.7480438184663537,0.7504084718976648
soul,sonata,FCN,LSTM,FGSM,0.2,0.6932707355242567,0.6872736493852131
soul,sonata,FCN,LSTM,FGSM,0.3,0.3763693270735524,0.30133912063587487
soul,sonata,FCN,LSTM,PGD,0.1,0.7539123630672926,0.7562153549449507
soul,sonata,FCN,LSTM,PGD,0.2,0.7085289514866979,0.7059268795361998
soul,sonata,FCN,LSTM,PGD,0.3,0.4937402190923318,0.47234324191542376
soul,sonata,FCN,LSTM,RFGSM,0.1,0.7546948356807511,0.7569138847184733
soul,sonata,FCN,LSTM,RFGSM,0.2,0.7546948356807511,0.7569138847184733
soul,sonata,FCN,LSTM,RFGSM,0.3,0.7550860719874805,0.7573152244500805
soul,sonata,CNN,FCN,BIM,0.1,0.5461658841940532,0.47287850317199
soul,sonata,CNN,FCN,BIM,0.2,0.5461658841940532,0.47287850317199
soul,sonata,CNN,FCN,BIM,0.3,0.5461658841940532,0.47287850317199
soul,sonata,CNN,FCN,FGSM,0.1,0.5821596244131455,0.5008639733762976
soul,sonata,CNN,FCN,FGSM,0.2,0.49413145539906106,0.37238899452241403
soul,sonata,CNN,FCN,FGSM,0.3,0.4847417840375587,0.365977820904494
soul,sonata,CNN,FCN,PGD,0.1,0.44209702660406885,0.3126208433738984
soul,sonata,CNN,FCN,PGD,0.2,0.46557120500782473,0.33360017017196536
soul,sonata,CNN,FCN,PGD,0.3,0.4706572769953052,0.3444095131016407
soul,sonata,CNN,FCN,RFGSM,0.1,0.5528169014084507,0.47811364356620156
soul,sonata,CNN,FCN,RFGSM,0.2,0.5516431924882629,0.4771922202350236
soul,sonata,CNN,FCN,RFGSM,0.3,0.5500782472613458,0.4759620668062263
soul,sonata,CNN,CNN,BIM,0.1,0.5179968701095462,0.4504183209109601
soul,sonata,CNN,CNN,BIM,0.2,0.5179968701095462,0.4504183209109601
soul,sonata,CNN,CNN,BIM,0.3,0.5179968701095462,0.4504183209109601
soul,sonata,CNN,CNN,FGSM,0.1,0.528169014084507,0.4587702362100605
soul,sonata,CNN,CNN,FGSM,0.2,0.41275430359937404,0.2818330913439897
soul,sonata,CNN,CNN,FGSM,0.3,0.40023474178403756,0.2742067294144169
soul,sonata,CNN,CNN,PGD,0.1,0.5199530516431925,0.4520096674936972
soul,sonata,CNN,CNN,PGD,0.2,0.5086071987480438,0.4319676048983295
soul,sonata,CNN,CNN,PGD,0.3,0.4327073552425665,0.3153414435779476
soul,sonata,CNN,CNN,RFGSM,0.1,0.5140845070422535,0.44722322960840477
soul,sonata,CNN,CNN,RFGSM,0.2,0.5160406885758998,0.4488228682698264
soul,sonata,CNN,CNN,RFGSM,0.3,0.5117370892018779,0.4452980243801198
soul,sonata,CNN,LSTM,BIM,0.1,0.5528169014084507,0.47811364356620156
soul,sonata,CNN,LSTM,BIM,0.2,0.5528169014084507,0.47811364356620156
soul,sonata,CNN,LSTM,BIM,0.3,0.5528169014084507,0.47811364356620156
