Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
spark,sonata,FCN,FCN,BIM,0.1,0.7734741784037559,0.7758260728453075
spark,sonata,FCN,FCN,BIM,0.2,0.7734741784037559,0.7758260728453075
spark,sonata,FCN,FCN,BIM,0.3,0.7734741784037559,0.7758260728453075
spark,sonata,FCN,FCN,FGSM,0.1,0.7664319248826291,0.7687747695172888
spark,sonata,FCN,FCN,FGSM,0.2,0.4503129890453834,0.40757899538866105
spark,sonata,FCN,FCN,FGSM,0.3,0.2664319248826291,0.14561652952565343
spark,sonata,FCN,FCN,PGD,0.1,0.7672143974960877,0.7696930686917877
spark,sonata,FCN,FCN,PGD,0.2,0.6471048513302035,0.6089818406653724
spark,sonata,FCN,FCN,PGD,0.3,0.49061032863849763,0.4515639692218996
spark,sonata,FCN,FCN,RFGSM,0.1,0.769170579029734,0.771621638912981
spark,sonata,FCN,FCN,RFGSM,0.2,0.7695618153364632,0.7720060263560712
spark,sonata,FCN,FCN,RFGSM,0.3,0.769170579029734,0.771621638912981
spark,sonata,FCN,CNN,BIM,0.1,0.7867762128325508,0.7885038191448714
spark,sonata,FCN,CNN,BIM,0.2,0.7867762128325508,0.7885038191448714
spark,sonata,FCN,CNN,BIM,0.3,0.7867762128325508,0.7885038191448714
spark,sonata,FCN,CNN,FGSM,0.1,0.7832550860719875,0.7851568678690675
spark,sonata,FCN,CNN,FGSM,0.2,0.7582159624413145,0.7603960866784801
spark,sonata,FCN,CNN,FGSM,0.3,0.5719874804381847,0.501381682331663
spark,sonata,FCN,CNN,PGD,0.1,0.7809076682316118,0.7829384470522207
spark,sonata,FCN,CNN,PGD,0.2,0.7644757433489828,0.7669401915277411
spark,sonata,FCN,CNN,PGD,0.3,0.6694053208137715,0.6566822944822756
spark,sonata,FCN,CNN,RFGSM,0.1,0.7828638497652582,0.7847336953188979
spark,sonata,FCN,CNN,RFGSM,0.2,0.7836463223787168,0.7854684427985966
spark,sonata,FCN,CNN,RFGSM,0.3,0.7844287949921753,0.7862160564010832
spark,sonata,FCN,LSTM,BIM,0.1,0.7703442879499217,0.7726429030807541
spark,sonata,FCN,LSTM,BIM,0.2,0.7703442879499217,0.7726429030807541
spark,sonata,FCN,LSTM,BIM,0.3,0.7703442879499217,0.7726429030807541
spark,sonata,FCN,LSTM,FGSM,0.1,0.7636932707355243,0.7660649101302314
spark,sonata,FCN,LSTM,FGSM,0.2,0.45539906103286387,0.41385168488403
spark,sonata,FCN,LSTM,FGSM,0.3,0.392018779342723,0.3271864670415012
spark,sonata,FCN,LSTM,PGD,0.1,0.7679968701095462,0.77032740621732
spark,sonata,FCN,LSTM,PGD,0.2,0.6541471048513302,0.6242850873300966
spark,sonata,FCN,LSTM,PGD,0.3,0.4581377151799687,0.41924944748904236
spark,sonata,FCN,LSTM,RFGSM,0.1,0.7695618153364632,0.7719532012156817
spark,sonata,FCN,LSTM,RFGSM,0.2,0.7699530516431925,0.7722580955933973
spark,sonata,FCN,LSTM,RFGSM,0.3,0.769170579029734,0.7714871553460707
spark,sonata,CNN,FCN,BIM,0.1,0.5492957746478874,0.47539350243610934
spark,sonata,CNN,FCN,BIM,0.2,0.5492957746478874,0.47539350243610934
spark,sonata,CNN,FCN,BIM,0.3,0.5492957746478874,0.47539350243610934
spark,sonata,CNN,FCN,FGSM,0.1,0.5821596244131455,0.5008939044411735
spark,sonata,CNN,FCN,FGSM,0.2,0.6165884194053208,0.5551974926096093
spark,sonata,CNN,FCN,FGSM,0.3,0.4749608763693271,0.3602901463513393
spark,sonata,CNN,FCN,PGD,0.1,0.5665101721439749,0.48883103997918165
spark,sonata,CNN,FCN,PGD,0.2,0.543035993740219,0.4591273971125299
spark,sonata,CNN,FCN,PGD,0.3,0.5086071987480438,0.41290318155557454
spark,sonata,CNN,FCN,RFGSM,0.1,0.5563380281690141,0.48091498583000813
spark,sonata,CNN,FCN,RFGSM,0.2,0.5567292644757433,0.4812207016830068
spark,sonata,CNN,FCN,RFGSM,0.3,0.5571205007824727,0.4815263126902628
spark,sonata,CNN,CNN,BIM,0.1,0.5097809076682316,0.4436888926526571
spark,sonata,CNN,CNN,BIM,0.2,0.5097809076682316,0.4436888926526571
spark,sonata,CNN,CNN,BIM,0.3,0.5097809076682316,0.4436888926526571
spark,sonata,CNN,CNN,FGSM,0.1,0.5093896713615024,0.4433665355070213
spark,sonata,CNN,CNN,FGSM,0.2,0.7719092331768388,0.773394512403651
spark,sonata,CNN,CNN,FGSM,0.3,0.45774647887323944,0.42679195891209765
spark,sonata,CNN,CNN,PGD,0.1,0.5168231611893583,0.44946154716037734
spark,sonata,CNN,CNN,PGD,0.2,0.5352112676056338,0.4652707819729617
spark,sonata,CNN,CNN,PGD,0.3,0.5113458528951487,0.44126928104165297
spark,sonata,CNN,CNN,RFGSM,0.1,0.5097809076682316,0.4436888926526571
spark,sonata,CNN,CNN,RFGSM,0.2,0.508998435054773,0.44304399990236976
spark,sonata,CNN,CNN,RFGSM,0.3,0.5086071987480438,0.44272128518320064
spark,sonata,CNN,LSTM,BIM,0.1,0.5469483568075117,0.47354482339549253
spark,sonata,CNN,LSTM,BIM,0.2,0.5469483568075117,0.47354482339549253
spark,sonata,CNN,LSTM,BIM,0.3,0.5469483568075117,0.47354482339549253
spark,sonata,CNN,LSTM,FGSM,0.1,0.5841158059467919,0.5024220936225263
spark,sonata,CNN,LSTM,FGSM,0.2,0.5841158059467919,0.537454467619097
spark,sonata,CNN,LSTM,FGSM,0.3,0.5563380281690141,0.5172221260069708
spark,sonata,CNN,LSTM,PGD,0.1,0.5637715179968701,0.48674467515576614
spark,sonata,CNN,LSTM,PGD,0.2,0.5543818466353677,0.4785222743188571
spark,sonata,CNN,LSTM,PGD,0.3,0.505868544600939,0.42622826661442065
spark,sonata,CNN,LSTM,RFGSM,0.1,0.5579029733959311,0.4821372225084002
spark,sonata,CNN,LSTM,RFGSM,0.2,0.5567292644757433,0.4812207016830068
spark,sonata,CNN,LSTM,RFGSM,0.3,0.5575117370892019,0.4818318194370763
spark,sonata,LSTM,FCN,BIM,0.1,0.7640845070422535,0.7657175379909221
spark,sonata,LSTM,FCN,BIM,0.2,0.7640845070422535,0.7657175379909221
spark,sonata,LSTM,FCN,BIM,0.3,0.7640845070422535,0.7657175379909221
spark,sonata,LSTM,FCN,FGSM,0.1,0.5117370892018779,0.4459910899916695
spark,sonata,LSTM,FCN,FGSM,0.2,0.47183098591549294,0.4138867203697746
spark,sonata,LSTM,FCN,FGSM,0.3,0.4495305164319249,0.39535844355428434
spark,sonata,LSTM,FCN,PGD,0.1,0.6083724569640062,0.6034602716788686
spark,sonata,LSTM,FCN,PGD,0.2,0.5078247261345853,0.4486073224657884
spark,sonata,LSTM,FCN,PGD,0.3,0.4910015649452269,0.42925244308943256
spark,sonata,LSTM,FCN,RFGSM,0.1,0.6956181533646323,0.7005460375415088
spark,sonata,LSTM,FCN,RFGSM,0.2,0.6854460093896714,0.6903644962243033
spark,sonata,LSTM,FCN,RFGSM,0.3,0.6858372456964006,0.6906919373456349
spark,sonata,LSTM,CNN,BIM,0.1,0.7879499217527387,0.7885942532344994
spark,sonata,LSTM,CNN,BIM,0.2,0.7879499217527387,0.7885942532344994
spark,sonata,LSTM,CNN,BIM,0.3,0.7879499217527387,0.7885942532344994
spark,sonata,LSTM,CNN,FGSM,0.1,0.7848200312989045,0.785612998212637
spark,sonata,LSTM,CNN,FGSM,0.2,0.5066510172143975,0.4398740732029956
spark,sonata,LSTM,CNN,FGSM,0.3,0.4988262910798122,0.43425344333194993
spark,sonata,LSTM,CNN,PGD,0.1,0.7539123630672926,0.7560884986319638
spark,sonata,LSTM,CNN,PGD,0.2,0.5923317683881064,0.5776637303407266
spark,sonata,LSTM,CNN,PGD,0.3,0.5453834115805947,0.5145329784567279
spark,sonata,LSTM,CNN,RFGSM,0.1,0.7871674491392802,0.7878613565402665
spark,sonata,LSTM,CNN,RFGSM,0.2,0.7852112676056338,0.7859711219440526
spark,sonata,LSTM,CNN,RFGSM,0.3,0.784037558685446,0.7847186416136323
spark,sonata,LSTM,LSTM,BIM,0.1,0.5160406885758998,0.4482329511040768
spark,sonata,LSTM,LSTM,BIM,0.2,0.5160406885758998,0.4482329511040768
spark,sonata,LSTM,LSTM,BIM,0.3,0.5160406885758998,0.4482329511040768
spark,sonata,LSTM,LSTM,FGSM,0.1,0.5136932707355243,0.4476606018772902
spark,sonata,LSTM,LSTM,FGSM,0.2,0.48630672926447577,0.42590103243573163
spark,sonata,LSTM,LSTM,FGSM,0.3,0.4444444444444444,0.39113565094491853
spark,sonata,LSTM,LSTM,PGD,0.1,0.5129107981220657,0.4457751927717791
spark,sonata,LSTM,LSTM,PGD,0.2,0.5043035993740219,0.44054456942495296
spark,sonata,LSTM,LSTM,PGD,0.3,0.4980438184663537,0.43501833636709913
spark,sonata,LSTM,LSTM,RFGSM,0.1,0.5136932707355243,0.44626690792756085
spark,sonata,LSTM,LSTM,RFGSM,0.2,0.513302034428795,0.44594894792347056
spark,sonata,LSTM,LSTM,RFGSM,0.3,0.5129107981220657,0.4456308338145125
spark,soul,FCN,FCN,BIM,0.1,0.6295358649789029,0.5722182292750279
spark,soul,FCN,FCN,BIM,0.2,0.6295358649789029,0.5722182292750279
spark,soul,FCN,FCN,BIM,0.3,0.6295358649789029,0.5722182292750279
spark,soul,FCN,FCN,FGSM,0.1,0.620253164556962,0.560456062291435
spark,soul,FCN,FCN,FGSM,0.2,0.3468354430379747,0.23101999091322128
spark,soul,FCN,FCN,FGSM,0.3,0.2978902953586498,0.1557135334386519
spark,soul,FCN,FCN,PGD,0.1,0.6253164556962025,0.5681168300653595
spark,soul,FCN,FCN,PGD,0.2,0.6,0.5405409329494333
spark,soul,FCN,FCN,PGD,0.3,0.5147679324894515,0.4651515512100427
spark,soul,FCN,FCN,RFGSM,0.1,0.6286919831223629,0.5715943644520491
spark,soul,FCN,FCN,RFGSM,0.2,0.6286919831223629,0.5715943644520491
spark,soul,FCN,FCN,RFGSM,0.3,0.6286919831223629,0.5715943644520491
spark,soul,FCN,CNN,BIM,0.1,0.6421940928270042,0.5844298245614035
spark,soul,FCN,CNN,BIM,0.2,0.6421940928270042,0.5844298245614035
spark,soul,FCN,CNN,BIM,0.3,0.6421940928270042,0.5844298245614035
spark,soul,FCN,CNN,FGSM,0.1,0.6312236286919831,0.5734975310128869
spark,soul,FCN,CNN,FGSM,0.2,0.5924050632911393,0.5290834513571023
spark,soul,FCN,CNN,FGSM,0.3,0.3130801687763713,0.18111921897907507
spark,soul,FCN,CNN,PGD,0.1,0.6362869198312237,0.5787579957356077
spark,soul,FCN,CNN,PGD,0.2,0.6168776371308017,0.5591871481282632
spark,soul,FCN,CNN,PGD,0.3,0.5839662447257384,0.5278408982360867
spark,soul,FCN,CNN,RFGSM,0.1,0.6413502109704642,0.5835912913377702
spark,soul,FCN,CNN,RFGSM,0.2,0.640506329113924,0.5830095520646487
spark,soul,FCN,CNN,RFGSM,0.3,0.6388185654008439,0.5810587981836863
spark,soul,FCN,LSTM,BIM,0.1,0.6312236286919831,0.5736583859962618
