Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
spark,sonata,FCN,FCN,BIM,0.1,0.4166666666666667,0.359683741867318
spark,sonata,FCN,FCN,BIM,0.2,0.4166666666666667,0.359683741867318
spark,sonata,FCN,FCN,BIM,0.3,0.4166666666666667,0.359683741867318
spark,sonata,FCN,FCN,FGSM,0.1,0.41275430359937404,0.35589258003434443
spark,sonata,FCN,FCN,FGSM,0.2,0.3751956181533646,0.2937089039874932
spark,sonata,FCN,FCN,FGSM,0.3,0.24139280125195617,0.09788325487379984
spark,sonata,FCN,FCN,PGD,0.1,0.4088419405320814,0.3519603794830939
spark,sonata,FCN,FCN,PGD,0.2,0.30359937402190923,0.20979178530777795
spark,sonata,FCN,FCN,PGD,0.3,0.24608763693270735,0.1085987445127175
spark,sonata,FCN,FCN,RFGSM,0.1,0.41471048513302033,0.35774122662285945
spark,sonata,FCN,FCN,RFGSM,0.2,0.4154929577464789,0.3585193610529618
spark,sonata,FCN,FCN,RFGSM,0.3,0.4151017214397496,0.3581304825793521
spark,sonata,FCN,CNN,BIM,0.1,0.42683881064162754,0.3696371884414494
spark,sonata,FCN,CNN,BIM,0.2,0.42683881064162754,0.3696371884414494
spark,sonata,FCN,CNN,BIM,0.3,0.42683881064162754,0.3696371884414494
spark,sonata,FCN,CNN,FGSM,0.1,0.42488262910798125,0.367843046062315
spark,sonata,FCN,CNN,FGSM,0.2,0.37128325508607196,0.31203838911884574
spark,sonata,FCN,CNN,FGSM,0.3,0.24100156494522693,0.09709962168978563
spark,sonata,FCN,CNN,PGD,0.1,0.4213615023474178,0.36430793511532955
spark,sonata,FCN,CNN,PGD,0.2,0.3904538341158059,0.3325418677658286
spark,sonata,FCN,CNN,PGD,0.3,0.3270735524256651,0.25048214350479825
spark,sonata,FCN,CNN,RFGSM,0.1,0.42527386541471046,0.36792064540101066
spark,sonata,FCN,CNN,RFGSM,0.2,0.42644757433489827,0.36905827457091284
spark,sonata,FCN,CNN,RFGSM,0.3,0.42644757433489827,0.36905827457091284
spark,sonata,FCN,LSTM,BIM,0.1,0.4197965571205008,0.3627724033396453
spark,sonata,FCN,LSTM,BIM,0.2,0.4197965571205008,0.3627724033396453
spark,sonata,FCN,LSTM,BIM,0.3,0.4197965571205008,0.3627724033396453
