Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
sonata,sonata,FCN,FCN,BIM,0.1,0.365414710485133,0.3052934334142587
sonata,sonata,FCN,FCN,BIM,0.2,0.365414710485133,0.3052934334142587
sonata,sonata,FCN,FCN,BIM,0.3,0.365414710485133,0.3052934334142587
sonata,sonata,FCN,FCN,FGSM,0.1,0.3658059467918623,0.3058501820336568
sonata,sonata,FCN,FCN,FGSM,0.2,0.365414710485133,0.2746403090172671
sonata,sonata,FCN,FCN,FGSM,0.3,0.36502347417840375,0.2738494970704468
sonata,sonata,FCN,FCN,PGD,0.1,0.36502347417840375,0.2907659931945658
sonata,sonata,FCN,FCN,PGD,0.2,0.26017214397496086,0.13870679634155902
sonata,sonata,FCN,FCN,PGD,0.3,0.2433489827856025,0.10274755706769
sonata,sonata,FCN,FCN,RFGSM,0.1,0.36502347417840375,0.30484689781538954
sonata,sonata,FCN,FCN,RFGSM,0.2,0.36502347417840375,0.30484689781538954
sonata,sonata,FCN,FCN,RFGSM,0.3,0.36502347417840375,0.30484689781538954
sonata,sonata,FCN,CNN,BIM,0.1,0.520735524256651,0.44733572342005773
sonata,sonata,FCN,CNN,BIM,0.2,0.520735524256651,0.44733572342005773
sonata,sonata,FCN,CNN,BIM,0.3,0.520735524256651,0.44733572342005773
sonata,sonata,FCN,CNN,FGSM,0.1,0.3865414710485133,0.3142694220420307
sonata,sonata,FCN,CNN,FGSM,0.2,0.36502347417840375,0.2738494970704468
sonata,sonata,FCN,CNN,FGSM,0.3,0.36502347417840375,0.2738494970704468
sonata,sonata,FCN,CNN,PGD,0.1,0.3931924882629108,0.3298896329872305
sonata,sonata,FCN,CNN,PGD,0.2,0.3673708920187793,0.28533355742703415
sonata,sonata,FCN,CNN,PGD,0.3,0.3258998435054773,0.23241617232529765
sonata,sonata,FCN,CNN,RFGSM,0.1,0.49178403755868544,0.42466650780479337
sonata,sonata,FCN,CNN,RFGSM,0.2,0.4910015649452269,0.42406004173697437
sonata,sonata,FCN,CNN,RFGSM,0.3,0.48630672926447577,0.42019704727415497
sonata,sonata,FCN,LSTM,BIM,0.1,0.36658841940532083,0.3066298552347096
sonata,sonata,FCN,LSTM,BIM,0.2,0.36658841940532083,0.3066298552347096
sonata,sonata,FCN,LSTM,BIM,0.3,0.36658841940532083,0.3066298552347096
sonata,sonata,FCN,LSTM,FGSM,0.1,0.365414710485133,0.27450452810630965
sonata,sonata,FCN,LSTM,FGSM,0.2,0.36502347417840375,0.2737136896611377
sonata,sonata,FCN,LSTM,FGSM,0.3,0.36502347417840375,0.2737136896611377
sonata,sonata,FCN,LSTM,PGD,0.1,0.36502347417840375,0.28734194040546474
sonata,sonata,FCN,LSTM,PGD,0.2,0.3114241001564945,0.2178298401472641
sonata,sonata,FCN,LSTM,PGD,0.3,0.25039123630672927,0.11703504492914757
sonata,sonata,FCN,LSTM,RFGSM,0.1,0.36502347417840375,0.30484689781538954
sonata,sonata,FCN,LSTM,RFGSM,0.2,0.36502347417840375,0.30484689781538954
sonata,sonata,FCN,LSTM,RFGSM,0.3,0.36502347417840375,0.30484689781538954
sonata,sonata,CNN,FCN,BIM,0.1,0.6944444444444444,0.6170593523959179
sonata,sonata,CNN,FCN,BIM,0.2,0.6944444444444444,0.6170593523959179
sonata,sonata,CNN,FCN,BIM,0.3,0.6944444444444444,0.6170593523959179
sonata,sonata,CNN,FCN,FGSM,0.1,0.6780125195618153,0.6019891383308431
