Target_Vehicle,Source_Vehicle,Target_Model,Source_Model,Attack,Epsilon,Accuracy,F1
soul,sonata,FCN,FCN,BIM,0.1,0.24178403755868544,0.13973162762678418
soul,sonata,FCN,FCN,BIM,0.2,0.24178403755868544,0.13973162762678418
soul,sonata,FCN,FCN,BIM,0.3,0.24178403755868544,0.13973162762678418
soul,sonata,FCN,FCN,FGSM,0.1,0.24139280125195617,0.10842839457756231
soul,sonata,FCN,FCN,FGSM,0.2,0.24100156494522693,0.10788091068301225
soul,sonata,FCN,FCN,FGSM,0.3,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,FCN,PGD,0.1,0.24139280125195617,0.11193945446491754
soul,sonata,FCN,FCN,PGD,0.2,0.24100156494522693,0.10088437602358334
soul,sonata,FCN,FCN,PGD,0.3,0.24100156494522693,0.09783989834815755
soul,sonata,FCN,FCN,RFGSM,0.1,0.24139280125195617,0.13936056071120032
soul,sonata,FCN,FCN,RFGSM,0.2,0.24139280125195617,0.13936056071120032
soul,sonata,FCN,FCN,RFGSM,0.3,0.24178403755868544,0.13973162762678418
soul,sonata,FCN,CNN,BIM,0.1,0.5418622848200313,0.456209565269968
soul,sonata,FCN,CNN,BIM,0.2,0.5418622848200313,0.456209565269968
soul,sonata,FCN,CNN,BIM,0.3,0.5418622848200313,0.456209565269968
soul,sonata,FCN,CNN,FGSM,0.1,0.2719092331768388,0.14825034764458886
soul,sonata,FCN,CNN,FGSM,0.2,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,CNN,FGSM,0.3,0.24100156494522693,0.09709962168978563
soul,sonata,FCN,CNN,PGD,0.1,0.2719092331768388,0.16916834940611797
soul,sonata,FCN,CNN,PGD,0.2,0.24413145539906103,0.11651659527347961
soul,sonata,FCN,CNN,PGD,0.3,0.24139280125195617,0.10230407139586152
soul,sonata,FCN,CNN,RFGSM,0.1,0.3345070422535211,0.2648098910149055
soul,sonata,FCN,CNN,RFGSM,0.2,0.32981220657276994,0.2588316387507652
soul,sonata,FCN,CNN,RFGSM,0.3,0.33255086071987483,0.26219191752782595
soul,sonata,FCN,LSTM,BIM,0.1,0.2421752738654147,0.1401023712030079
soul,sonata,FCN,LSTM,BIM,0.2,0.2421752738654147,0.1401023712030079
soul,sonata,FCN,LSTM,BIM,0.3,0.2421752738654147,0.1401023712030079
soul,sonata,FCN,LSTM,FGSM,0.1,0.24139280125195617,0.10842839457756231
soul,sonata,FCN,LSTM,FGSM,0.2,0.24100156494522693,0.10788091068301225
soul,sonata,FCN,LSTM,FGSM,0.3,0.24100156494522693,0.10788091068301225
soul,sonata,FCN,LSTM,PGD,0.1,0.24178403755868544,0.10994147983447594
soul,sonata,FCN,LSTM,PGD,0.2,0.24100156494522693,0.09925878182404126
